Operand 1,Operand 2,Answer
4,1,3
7,2,5
9,2,7
1,1,0
7,5,2
9,4,5
9,9,0
9,9,0
6,4,2
9,4,5
8,5,3
8,4,4
7,3,4
2,1,1
3,1,2
8,6,2
5,4,1
8,8,0
7,6,1
5,1,4
5,5,0
6,6,0
2,1,1
9,7,2
3,1,2
9,5,4
6,2,4
8,4,4
5,1,4
8,7,1
8,3,5
7,3,4
5,1,4
4,2,2
8,5,3
8,3,5
3,1,2
8,2,6
9,6,3
5,3,2
5,4,1
3,1,2
8,3,5
3,1,2
6,3,3
8,1,7
7,3,4
7,2,5
5,5,0
5,4,1
8,1,7
8,2,6
7,4,3
9,7,2
4,2,2
7,5,2
9,4,5
5,1,4
9,6,3
6,1,5
6,2,4
3,3,0
6,5,1
9,2,7
6,2,4
9,1,8
4,4,0
2,1,1
3,3,0
4,3,1
6,3,3
4,3,1
6,1,5
5,5,0
7,3,4
6,4,2
6,2,4
5,1,4
8,1,7
2,1,1
9,7,2
3,3,0
5,2,3
9,3,6
8,4,4
7,1,6
9,2,7
8,6,2
7,6,1
8,6,2
6,6,0
8,5,3
3,3,0
8,4,4
6,1,5
5,3,2
8,2,6
5,5,0
6,2,4
9,7,2
