Question Type,Operand 1,Operand 2,Answer
A,25,30,55
A,28,35,63
A,42,28,70
A,46,33,79
A,20,19,39
A,11,21,32
A,14,43,57
A,50,50,100
A,15,46,61
A,50,50,100
A,37,16,53
A,42,38,80
A,41,50,91
A,33,40,73
A,41,37,78
A,33,18,51
A,30,20,50
A,12,11,23
A,27,36,63
A,21,26,47
A,21,47,68
A,28,45,73
A,14,24,38
A,41,47,88
A,18,28,46
S,24,16,8
S,50,20,30
S,16,12,4
S,17,12,5
S,40,37,3
S,40,17,23
S,45,40,5
S,33,18,15
S,42,36,6
S,43,37,6
S,43,16,27
S,46,43,3
S,28,27,1
S,36,27,9
S,46,39,7
S,31,16,15
S,44,36,8
S,22,16,6
S,50,45,5
S,31,21,10
S,30,12,18
S,35,32,3
S,47,36,11
S,50,34,16
S,43,20,23
M,5,1,5
M,8,5,40
M,9,1,9
M,5,8,40
M,6,6,36
M,5,9,45
M,3,5,15
M,1,2,2
M,8,7,56
M,1,7,7
M,6,6,36
M,4,5,20
M,4,9,36
M,4,9,36
M,1,7,7
M,8,4,32
M,3,1,3
M,7,8,56
M,1,6,6
M,8,3,24
M,5,2,10
M,5,8,40
M,5,1,5
M,8,4,32
M,4,5,20
D,40,5,8
D,30,5,6
D,9,3,3
D,80,8,10
D,1,1,1
D,8,1,8
D,18,3,6
D,4,2,2
D,8,2,4
D,12,4,3
D,6,3,2
D,8,1,8
D,2,1,2
D,30,6,5
D,40,8,5
D,18,9,2
D,14,7,2
D,5,1,5
D,72,6,12
D,4,1,4
D,20,5,4
D,55,5,11
D,35,7,5
D,44,4,11
D,21,3,7
