Operand 1,Operand 2,Answer
7,8,15
6,9,15
9,4,13
2,8,10
2,3,5
6,8,14
6,5,11
9,3,12
5,6,11
2,7,9
4,2,6
1,5,6
9,5,14
6,1,7
3,7,10
7,7,14
4,4,8
8,5,13
7,9,16
9,8,17
3,5,8
4,6,10
5,7,12
4,2,6
9,2,11
1,3,4
8,9,17
7,7,14
4,4,8
9,2,11
7,8,15
8,6,14
4,2,6
9,7,16
9,2,11
2,4,6
4,5,9
8,3,11
3,5,8
4,4,8
1,7,8
4,7,11
9,9,18
5,7,12
3,8,11
7,6,13
6,3,9
5,4,9
2,8,10
2,1,3
5,7,12
4,9,13
9,7,16
3,9,12
7,2,9
7,2,9
6,5,11
4,6,10
2,5,7
2,1,3
3,3,6
6,9,15
7,9,16
3,1,4
7,1,8
1,1,2
4,8,12
2,4,6
3,6,9
3,1,4
5,8,13
9,9,18
7,1,8
2,3,5
6,8,14
4,5,9
1,2,3
5,3,8
2,4,6
9,3,12
8,5,13
1,1,2
5,1,6
8,7,15
4,3,7
9,4,13
3,7,10
5,7,12
1,6,7
1,3,4
2,3,5
5,6,11
1,5,6
3,6,9
2,5,7
3,3,6
3,8,11
8,6,14
9,4,13
9,8,17
